text,source,source_lan,source_label,google_trans_en,source_dataset
在地铁上看到十几岁的男孩在嘲笑截肢者。,vignette,en,care,Teenage boys were seen laughing at amputees on the subway.,BM_MFV
女孩在学校话剧中嘲笑另一名忘词的同学。,vignette,en,care,A girl mocks another classmate for forgetting her words in a school play.,BM_MFV
女人大声评论另一名女子的牛仔裤有多显胖。,vignette,en,care,A woman makes a loud comment about how fat another woman's jeans look.,BM_MFV
男人在看到相亲对象后立刻取消约会。,vignette,en,care,Men immediately cancel the date after seeing their blind date.,BM_MFV
男孩告诉女人，她看起来就像她超重的斗牛犬。,vignette,en,care,Boy tells woman she looks just like her overweight pit bull.,BM_MFV
女孩在发现她朋友的爸爸是清洁工后，发出嘲笑。,vignette,en,care,A girl jeers after discovering her friend's dad is a cleaner.,BM_MFV
男人在经过光头的癌症病人时偷偷地笑了。,vignette,en,care,The man smiled secretly as he passed the bald cancer patient.,BM_MFV
女孩说另女孩太丑了，不能成为啦啦队队员。,vignette,en,care,The girl said the other girl was too ugly to be a cheerleader.,BM_MFV
十几岁的女孩在走过时，公然盯着看毁了容的女人,vignette,en,care,Teenage girl openly stares at disfigured woman as she walks by,BM_MFV
男孩嘲笑他的兄弟被女朋友甩了。,vignette,en,care,Boy laughs at his brother for being dumped by his girlfriend.,BM_MFV
男人大声告诉妻子她做的晚餐有多难吃。,vignette,en,care,The man loudly told his wife how terrible the dinner she cooked was.,BM_MFV
男人告诉女人，她的画作看起来像是孩子画的。,vignette,en,care,The man tells the woman that her drawing looks like it was drawn by a child.,BM_MFV
在公交车上，一个女人明显不愿意坐在一个肥胖女子旁边。,vignette,en,care,"On the bus, a woman was obviously unwilling to sit next to an obese woman.",BM_MFV
女孩告诉男孩，他的哥哥比他帅得多。,vignette,en,care,The girl told the boy that his brother was much more handsome than him.,BM_MFV
女孩告诉她的同学，她看起来好像长胖了。,vignette,en,care,The girl told her classmates that she looked like she had gained weight.,BM_MFV
男人在办公室的垒球比赛中嘲笑一名残疾同事。,vignette,en,care,Man mocks a disabled co-worker during an office softball game.,BM_MFV
女人打方向盘，故意碾压一只松鼠。,vignette,en,care,The woman turned the steering wheel and deliberately ran over a squirrel.,BM_MFV
女人因为猫抓了家具而把它扔到房间的另一边。,vignette,en,care,The woman threw the cat across the room because it scratched the furniture.,BM_MFV
有人把他的狗留在雨中，只因为它在垃圾桶里翻找淘气,vignette,en,care,Someone left his dog out in the rain because he was rummaging around in a trash can,BM_MFV
男孩向在当地牧场吃草的奶牛扔石头。,vignette,en,care,The boy throws stones at cows grazing in a local pasture.,BM_MFV
动物园的驯养员用棒子戳海豚，逼它取悦游客。,vignette,en,care,A zoo trainer pokes a dolphin with a stick to force it to please tourists.,BM_MFV
