word,category,sentiment,score
同情,care,vice,0.9941217303276062
一臂之力,care,virtue,0.9914071559906006
一见倾心,care,virtue,0.9913414120674133
三个代表,care,virtue,0.9908990859985352
上阵杀敌,care,virtue,0.9829093217849731
不为已甚,care,vice,0.9941948056221008
不仁,care,vice,0.9941959381103516
不以为然,care,vice,0.9941923022270203
不伤脾胃,care,virtue,0.9869300127029419
不共戴天,care,vice,0.9941951632499695
不啻,care,virtue,0.9904226064682007
不孝,care,vice,0.9941944479942322
不孝之子,care,vice,0.9941936135292053
不孝子,care,vice,0.9941927790641785
不孝子孙,care,vice,0.9941931366920471
不孝敬,care,vice,0.9941948056221008
不孝顺,care,vice,0.9941937327384949
不宽容,care,vice,0.9941697120666504
不屑,care,vice,0.9941897392272949
不怀好意,care,vice,0.9941943287849426
不打不相识,care,vice,0.993408203125
不杀不辱,care,vice,0.9937088489532471
不让座,care,vice,0.9941158294677734
与人为善,care,virtue,0.9914496541023254
丑化,care,vice,0.9941919445991516
世界大战,care,virtue,0.9395470023155212
东征,care,virtue,0.9912896156311035
东征西讨,care,virtue,0.96811443567276
东突,care,virtue,0.983775794506073
丢命,care,vice,0.9941964149475098
两虎相争,care,vice,0.994030237197876
两虎相斗,care,vice,0.993057131767273
两败俱伤,care,vice,0.9941944479942322
严刑,care,vice,0.9941807389259338
严慈,care,virtue,0.9908304214477539
丧亡,care,vice,0.9941903352737427
丧生,care,vice,0.9941943287849426
中毒,care,vice,0.9941957592964172
中箭,care,vice,0.9941552877426147
为仁不富,care,vice,0.9941691160202026
为富不仁,care,vice,0.9941933751106262
为非作歹,care,vice,0.994193971157074
义举,care,virtue,0.9908648133277893
义卖,care,virtue,0.991131603717804
义工,care,virtue,0.9910003542900085
义愤填膺,care,vice,0.9941950440406799
义捐,care,virtue,0.9910784363746643
义演,care,virtue,0.9915698766708374
义行,care,virtue,0.9909293055534363
义诊,care,virtue,0.991231381893158
乌鸟私情,care,virtue,0.9912133812904358
乐于助人,care,virtue,0.9911726117134094
乐意,care,virtue,0.9916437268257141
乖顺,care,virtue,0.991565465927124
乘胜追击,care,virtue,0.9862822890281677
乞哀告怜,care,vice,0.994192898273468
乞怜,care,vice,0.9941959381103516
乳母,care,virtue,0.9884357452392578
了却此生,care,virtue,0.9420579671859741
争战,care,vice,0.9919920563697815
争斗,care,vice,0.9941893815994263
事故,care,vice,0.9941944479942322
二遍苦,care,vice,0.9941936135292053
互助,care,virtue,0.9915764927864075
互惠互利,care,virtue,0.9915552735328674
互惠共赢,care,virtue,0.9915274977684021
互惠合作,care,virtue,0.9915892481803894
五刑,care,vice,0.9334943294525146
亡国灭种,care,vice,0.9941943287849426
交恶,care,vice,0.9941967725753784
交战,care,virtue,0.9894473552703857
交通肇事,care,vice,0.9941957592964172
亲切,care,virtue,0.9917085766792297
亲和,care,virtue,0.991675853729248
亲睦邻邦,care,virtue,0.9916704893112183
人见人爱,care,virtue,0.9913787841796875
人身安全,care,virtue,0.9913265109062195
人道,care,virtue,0.9914541244506836
人道主义,care,virtue,0.9915143251419067
仁厚,care,virtue,0.9917536973953247
仁君,care,virtue,0.9914671182632446
